v1
v0.8.2
---------------------SYSTEM INFO---------------------
os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Core i5-10600K CPU @ 4.10GHz,AMD Radeon RX 9070 XT (RADV GFX1201),32148228,7.0.1-cachyos,,performance
--------------------FRAME METRICS--------------------
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
99.4924,10.051,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,683753856
100.561,9.94423,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,693697724
99.6342,10.0367,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,703736115
100.339,9.96624,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,713702146
99.5537,10.0448,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,723748294
100.134,9.98663,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,733735687
99.946,10.0054,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,743742053
100.37,9.96316,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,753705332
99.5505,10.0451,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,763752156
100.387,9.96148,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,773713345
99.7799,10.0221,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,783737456
100.323,9.96779,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,793704923
99.5184,10.0484,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,803755468
100.372,9.96289,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,813718026
99.7426,10.0258,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,823744808
100.352,9.96493,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,833709649
99.5347,10.0467,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,843758282
100.361,9.96403,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,853721928
99.7245,10.0276,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,863750969
100.344,9.9657,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,873717514
99.6183,10.0383,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,883757001
100.223,9.97776,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,893735677
99.6955,10.0305,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,903767071
100.252,9.97489,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,913742963
99.8318,10.0169,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,923760586
100.326,9.96747,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,933727727
99.7582,10.0242,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,943753516
100.28,9.97204,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,953725766
99.6611,10.034,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,963761394
100.384,9.96171,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,973723815
99.7361,10.0265,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,983750982
100.289,9.97122,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,993722273
99.6354,10.0366,20.9302,0,0,68,0,350,0,0,0,12.6224,0.733524,0,4498,1003762777
