v1
v0.8.2
---------------------SYSTEM INFO---------------------
os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Core i5-10600K CPU @ 4.10GHz,AMD Radeon RX 9070 XT (RADV GFX1201),32148228,7.0.1-cachyos,,performance
--------------------FRAME METRICS--------------------
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
100.169,9.98316,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,713892211
100.01,9.99903,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,723892310
100.204,9.97963,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,733872958
99.4956,10.0507,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,743924941
100.433,9.95693,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,753882209
99.699,10.0302,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,763913936
100.461,9.9541,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,773867297
99.552,10.045,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,783914208
100.538,9.94653,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,793860716
99.3551,10.0649,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,803927160
100.264,9.97363,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,813901223
99.8081,10.0192,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,823921137
100.284,9.97164,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,833893438
99.8126,10.0188,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,843912685
100.136,9.98643,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,853899714
99.819,10.0181,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,863919528
100.281,9.97195,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,873891142
99.7258,10.0275,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,883919947
100.289,9.97118,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,893891862
99.6732,10.0328,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,903925290
100.368,9.96338,23.1788,0,0,64,0,350,0,0,0,12.2898,1.49715,0,4500,913888927
